                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73459,                0.53186,                 1.1624,                0.97525,                0.99376,                  0.995,                0.77048,                 0.5029,                0.68441,                0.67672,             0.00093385,             0.00093385,             0.00093385
                     37,                0.75046,                0.50514,                  1.175,                0.98675,                      1,                  0.995,                0.75855,                0.55034,                0.67531,                0.70128,              0.0009197,              0.0009197,              0.0009197
                     38,                0.77415,                0.51065,                 1.1925,                0.91998,                0.99416,                  0.995,                0.69442,                0.58419,                0.80301,                0.71901,             0.00090556,             0.00090556,             0.00090556
                     39,                0.72006,                0.48305,                 1.1559,                0.98416,                 0.9953,                  0.995,                0.82013,                0.56064,                0.66972,                0.71714,             0.00089141,             0.00089141,             0.00089141
                     40,                0.77004,                0.51713,                  1.173,                0.91701,                0.97776,                  0.995,                0.76304,                 0.5542,                 0.7583,                0.70584,             0.00087726,             0.00087726,             0.00087726
                     41,                0.77043,                0.52056,                 1.1967,                0.98271,                      1,                  0.995,                 0.7941,                0.53311,                0.64072,                0.68088,             0.00086312,             0.00086312,             0.00086312
                     42,                0.73196,                0.47434,                 1.1538,                0.98316,                      1,                  0.995,                 0.7788,                0.53924,                0.60961,                0.69283,             0.00084897,             0.00084897,             0.00084897
                     43,                0.71326,                0.48946,                 1.1572,                 0.9881,                      1,                  0.995,                0.77692,                0.58361,                 0.6306,                0.73733,             0.00083482,             0.00083482,             0.00083482
                     44,                0.72073,                 0.4643,                 1.1486,                0.99132,                      1,                  0.995,                0.84412,                0.47785,                0.56795,                0.66655,             0.00082067,             0.00082067,             0.00082067
                     45,                0.69485,                0.47097,                 1.1492,                0.99031,                      1,                  0.995,                0.76066,                0.48625,                0.62802,                0.66478,             0.00080653,             0.00080653,             0.00080653
                     46,                0.69732,                0.45936,                 1.1412,                0.98524,                      1,                  0.995,                0.74296,                0.52074,                0.57788,                0.68752,             0.00079238,             0.00079238,             0.00079238
                     47,                0.69576,                0.45319,                 1.1414,                0.96095,                0.58889,                0.61216,                0.44892,                0.49743,                0.60717,                  0.681,             0.00077823,             0.00077823,             0.00077823
                     48,                0.68548,                0.46728,                 1.1509,                0.98454,                      1,                  0.995,                0.79414,                0.50812,                0.65122,                0.68285,             0.00076409,             0.00076409,             0.00076409
                     49,                0.69298,                0.46015,                 1.1402,                0.98079,                      1,                  0.995,                0.76852,                0.53612,                0.66277,                0.69255,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.6981,                0.44892,                 1.1378,                0.98936,                      1,                  0.995,                0.76313,                0.50368,                0.57779,                0.67313,             0.00073579,             0.00073579,             0.00073579
                     51,                0.66377,                0.44548,                 1.1284,                0.98932,                      1,                  0.995,                0.86402,                0.48649,                0.58375,                0.67195,             0.00072164,             0.00072164,             0.00072164
                     52,                0.64566,                0.42635,                 1.1272,                0.98818,                      1,                  0.995,                0.85119,                0.50568,                0.60415,                0.68875,              0.0007075,              0.0007075,              0.0007075
                     53,                0.66424,                0.43684,                 1.1042,                0.99413,                      1,                  0.995,                0.79978,                0.50329,                 0.6419,                0.68026,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.6554,                0.44979,                 1.1367,                0.96999,                0.77778,                 0.7784,                  0.579,                0.50053,                 0.5772,                 0.6862,              0.0006792,              0.0006792,              0.0006792
                     55,                0.66957,                0.41165,                 1.1116,                0.99357,                      1,                  0.995,                0.82018,                0.57789,                0.66277,                 0.7086,             0.00066506,             0.00066506,             0.00066506
                     56,                0.68515,                0.42834,                 1.1519,                0.98565,                 0.9988,                  0.995,                0.80218,                0.58784,                0.60855,                0.72428,             0.00065091,             0.00065091,             0.00065091
                     57,                0.64758,                0.41307,                 1.1236,                0.98791,                0.96667,                0.99197,                 0.8786,                0.44367,                0.55686,                 0.6454,             0.00063676,             0.00063676,             0.00063676
                     58,                0.60346,                0.39329,                 1.0959,                0.99132,                      1,                  0.995,                0.82951,                0.47362,                0.56339,                0.65865,             0.00062262,             0.00062262,             0.00062262
                     59,                0.63787,                0.39981,                 1.1152,                0.99196,                      1,                  0.995,                 0.8624,                0.44099,                0.53746,                0.63759,             0.00060847,             0.00060847,             0.00060847
                     60,                0.59264,                0.38997,                 1.0775,                0.99551,                      1,                  0.995,                0.86297,                0.40542,                0.52715,                0.63714,             0.00059432,             0.00059432,             0.00059432
                     61,                0.61534,                0.40302,                 1.0892,                0.99434,                      1,                  0.995,                0.84878,                0.48972,                 0.5425,                0.66862,             0.00058017,             0.00058017,             0.00058017
                     62,                0.59276,                0.40411,                 1.0834,                0.99172,                      1,                  0.995,                0.87408,                0.47319,                0.51154,                0.65359,             0.00056603,             0.00056603,             0.00056603
